[START] Cross-game date fix v84 | candidates=136 | execute=True
[OK 1/136] HTTP 200 | 나크 71401 | 2023-05-30 -> 2023-05-31 | https://www.nightcrows.co.kr/news/release/71401
[OK 2/136] HTTP 200 | 나크 221276 | 2024-01-10 -> 2024-01-11 | https://www.nightcrows.co.kr/news/release/221276
[OK 3/136] HTTP 200 | 나크 222452 | 2024-01-17 -> 2024-01-18 | https://www.nightcrows.co.kr/news/release/222452
[OK 4/136] HTTP 200 | 나크 224630 | 2024-01-24 -> 2024-01-25 | https://www.nightcrows.co.kr/news/release/224630
[OK 5/136] HTTP 200 | 나크 225820 | 2024-01-31 -> 2024-02-01 | https://www.nightcrows.co.kr/news/release/225820
[OK 6/136] HTTP 200 | 나크 227801 | 2024-02-06 -> 2024-02-07 | https://www.nightcrows.co.kr/news/release/227801
[OK 7/136] HTTP 200 | 나크 229882 | 2024-02-14 -> 2024-02-15 | https://www.nightcrows.co.kr/news/release/229882
[OK 8/136] HTTP 200 | 나크 231606 | 2024-02-21 -> 2024-02-22 | https://www.nightcrows.co.kr/news/release/231606
[OK 9/136] HTTP 200 | 나크 233145 | 2024-02-28 -> 2024-02-29 | https://www.nightcrows.co.kr/news/release/233145
[OK 10/136] HTTP 200 | 나크 234733 | 2024-03-06 -> 2024-03-07 | https://www.nightcrows.co.kr/news/release/234733
[OK 11/136] HTTP 200 | 나크 239377 | 2024-03-13 -> 2024-03-14 | https://www.nightcrows.co.kr/news/release/239377
[OK 12/136] HTTP 200 | 나크 248574 | 2024-03-20 -> 2024-03-21 | https://www.nightcrows.co.kr/news/release/248574
[OK 13/136] HTTP 200 | 나크 264645 | 2024-03-27 -> 2024-03-28 | https://www.nightcrows.co.kr/news/release/264645
[OK 14/136] HTTP 200 | 나크 276313 | 2024-04-03 -> 2024-04-04 | https://www.nightcrows.co.kr/news/release/276313
[OK 15/136] HTTP 200 | 나크 288203 | 2024-04-10 -> 2024-04-11 | https://www.nightcrows.co.kr/news/release/288203
[OK 16/136] HTTP 200 | 나크 299488 | 2024-04-17 -> 2024-04-18 | https://www.nightcrows.co.kr/news/release/299488
[OK 17/136] HTTP 200 | 나크 310523 | 2024-04-24 -> 2024-04-25 | https://www.nightcrows.co.kr/news/release/310523
[OK 18/136] HTTP 200 | 나크 320266 | 2024-05-01 -> 2024-05-02 | https://www.nightcrows.co.kr/news/release/320266
[OK 19/136] HTTP 200 | 나크 328857 | 2024-05-08 -> 2024-05-09 | https://www.nightcrows.co.kr/news/release/328857
[OK 20/136] HTTP 200 | 나크 336149 | 2024-05-15 -> 2024-05-16 | https://www.nightcrows.co.kr/news/release/336149
[OK 21/136] HTTP 200 | 나크 344121 | 2024-05-22 -> 2024-05-23 | https://www.nightcrows.co.kr/news/release/344121
[OK 22/136] HTTP 200 | 나크 351494 | 2024-05-29 -> 2024-05-30 | https://www.nightcrows.co.kr/news/release/351494
[OK 23/136] HTTP 200 | 나크 355665 | 2024-06-04 -> 2024-06-05 | https://www.nightcrows.co.kr/news/release/355665
[OK 24/136] HTTP 200 | 나크 362740 | 2024-06-12 -> 2024-06-13 | https://www.nightcrows.co.kr/news/release/362740
[OK 25/136] HTTP 200 | 나크 368511 | 2024-06-19 -> 2024-06-20 | https://www.nightcrows.co.kr/news/release/368511
[OK 26/136] HTTP 200 | 나크 376681 | 2024-06-26 -> 2024-06-27 | https://www.nightcrows.co.kr/news/release/376681
[OK 27/136] HTTP 200 | 나크 384589 | 2024-07-03 -> 2024-07-04 | https://www.nightcrows.co.kr/news/release/384589
[OK 28/136] HTTP 200 | 나크 389551 | 2024-07-10 -> 2024-07-11 | https://www.nightcrows.co.kr/news/release/389551
[OK 29/136] HTTP 200 | 나크 393738 | 2024-07-17 -> 2024-07-18 | https://www.nightcrows.co.kr/news/release/393738
[OK 30/136] HTTP 200 | 나크 398974 | 2024-07-24 -> 2024-07-25 | https://www.nightcrows.co.kr/news/release/398974
[OK 31/136] HTTP 200 | 나크 402523 | 2024-07-31 -> 2024-08-01 | https://www.nightcrows.co.kr/news/release/402523
[OK 32/136] HTTP 200 | 나크 406057 | 2024-08-07 -> 2024-08-08 | https://www.nightcrows.co.kr/news/release/406057
[OK 33/136] HTTP 200 | 나크 408524 | 2024-08-13 -> 2024-08-14 | https://www.nightcrows.co.kr/news/release/408524
[OK 34/136] HTTP 200 | 나크 408531 | 2024-08-21 -> 2024-08-22 | https://www.nightcrows.co.kr/news/release/408531
[OK 35/136] HTTP 200 | 나크 414185 | 2024-08-28 -> 2024-08-29 | https://www.nightcrows.co.kr/news/release/414185
[OK 36/136] HTTP 200 | 나크 416892 | 2024-09-04 -> 2024-09-05 | https://www.nightcrows.co.kr/news/release/416892
[OK 37/136] HTTP 200 | 나크 439752 | 2024-09-11 -> 2024-09-12 | https://www.nightcrows.co.kr/news/release/439752
[OK 38/136] HTTP 200 | 나크 445788 | 2024-09-25 -> 2024-09-26 | https://www.nightcrows.co.kr/news/release/445788
[OK 39/136] HTTP 200 | 나크 451779 | 2024-10-09 -> 2024-10-10 | https://www.nightcrows.co.kr/news/release/451779
[OK 40/136] HTTP 200 | 나크 456839 | 2024-10-16 -> 2024-10-17 | https://www.nightcrows.co.kr/news/release/456839
[OK 41/136] HTTP 200 | 나크 462624 | 2024-10-23 -> 2024-10-24 | https://www.nightcrows.co.kr/news/release/462624
[OK 42/136] HTTP 200 | 나크 466120 | 2024-10-30 -> 2024-10-31 | https://www.nightcrows.co.kr/news/release/466120
[OK 43/136] HTTP 200 | 나크 474078 | 2024-11-06 -> 2024-11-07 | https://www.nightcrows.co.kr/news/release/474078
