[START] Odin date fix v81 | candidates=17 | execute=True
[OK 1/17] HTTP 200 | 2022-12-08 -> 2021-12-08 | https://m.cafe.daum.net/odin/DEH7/23
[OK 2/17] HTTP 200 | 2022-12-29 -> 2021-12-29 | https://m.cafe.daum.net/odin/DEH7/26
[OK 3/17] HTTP 200 | 2023-12-07 -> 2022-12-07 | https://m.cafe.daum.net/odin/DEH7/74
[OK 4/17] HTTP 200 | 2023-12-21 -> 2022-12-21 | https://m.cafe.daum.net/odin/DEH7/76
[OK 5/17] HTTP 200 | 2022-01-11 -> 2023-01-11 | https://m.cafe.daum.net/odin/DEH7/80
[OK 6/17] HTTP 200 | 2022-01-26 -> 2023-01-26 | https://m.cafe.daum.net/odin/DEH7/82
[OK 7/17] HTTP 200 | 2022-03-08 -> 2023-03-08 | https://m.cafe.daum.net/odin/DEH7/88
[OK 8/17] HTTP 200 | 2024-11-08 -> 2023-11-08 | https://m.cafe.daum.net/odin/DEH7/123
[OK 9/17] HTTP 200 | 2024-12-06 -> 2023-12-06 | https://m.cafe.daum.net/odin/DEH7/127
[OK 10/17] HTTP 200 | 2024-12-20 -> 2023-12-20 | https://m.cafe.daum.net/odin/DEH7/129
[OK 11/17] HTTP 200 | 2024-06-19 -> 2024-04-24 | https://m.cafe.daum.net/odin/DEH7/147
[OK 12/17] HTTP 200 | 2025-11-13 -> 2024-11-13 | https://m.cafe.daum.net/odin/DEH7/176
[OK 13/17] HTTP 200 | 2025-12-11 -> 2024-12-11 | https://m.cafe.daum.net/odin/DEH7/180
[OK 14/17] HTTP 200 | 2025-12-18 -> 2024-12-18 | https://m.cafe.daum.net/odin/DEH7/181
[OK 15/17] HTTP 200 | 2024-01-01 -> 2025-01-01 | https://m.cafe.daum.net/odin/DEH7/183
[OK 16/17] HTTP 200 | 2026-11-12 -> 2025-11-12 | https://m.cafe.daum.net/odin/DEH7/229
[OK 17/17] HTTP 200 | 2026-12-31 -> 2025-12-31 | https://m.cafe.daum.net/odin/DEH7/236
[DONE] ok=17 failed=0 dry_run=0
